"文件","入口","数量","保留理由","候选逐项原文"
"apps/desktop/browser-extension/src/background.ts","invokePageAssets","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":827,""text"":""Site access is missing for ${safeOrigin(asset.url)}.""}]"
"apps/desktop/browser-extension/src/background.ts","invokePageAssets","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":832,""text"":""Asset bundle byte limit exceeded.""}]"
"apps/desktop/index.html","原生辅助程序","1","工具诊断与输出，非普通用户提示","[{""line"":11,""text"":""html,\n      body,\n      #root {\n        width: 100%;\n        height: 100%;\n        margin: 0;\n      }\n\n      body {\n        overflow: hidden;\n        background: #f7f7f8;\n      }\n\n      .zeus-startup-loader {\n        position: fixed;\n        inset: 0;\n        display: grid;\n        place-items: center;\n        pointer-events: none;\n        user-select: none;\n      }\n\n      .zeus-startup-icon {\n        width: 72px;\n        height: 72px;\n        animation: zeus-startup-pulse 1.4s ease-in-out infinite;\n      }\n\n      @keyframes zeus-startup-pulse {\n        0%,\n        100% {\n          opacity: 0.76;\n          transform: scale(0.98);\n        }\n\n        50% {\n          opacity: 1;\n          transform: scale(1);\n        }\n      }\n\n      @media (prefers-reduced-motion: reduce) {\n        .zeus-startup-icon {\n          animation: none;\n        }\n      }""}]"
"apps/desktop/native/BrowserNativeMessagingHost.swift","原生辅助程序","7","工具诊断与输出，非普通用户提示","[{""line"":26,""text"":""Zeus rejected the Native Messaging rendezvous.""},{""line"":29,""text"":""Zeus Browser Native Host failed.\\n""},{""line"":74,""text"":""Native Messaging frame is too large.""},{""line"":92,""text"":""Native Messaging response is too large.""},{""line"":102,""text"":""Rendezvous endpoint is invalid.""},{""line"":119,""text"":""Zeus rendezvous rejected the native host.""},{""line"":125,""text"":""Zeus rendezvous timed out.""}]"
"apps/desktop/native/ComputerService.swift","原生辅助程序","42","工具诊断与输出，非普通用户提示","[{""line"":62,""text"":""Computer 请求不是 JSON object。""},{""line"":65,""text"":""Computer 请求缺少 method。""},{""line"":81,""text"":""Computer 响应超过 16 MiB。""},{""line"":117,""text"":""Computer 方法不受支持：\\(method)""},{""line"":323,""text"":""Computer 请求缺少 app。""},{""line"":330,""text"":""目标应用当前没有运行；Zeus 不会为 Computer Use 在后台启动应用：\\(value)""},{""line"":335,""text"":""当前 Zeus 实例不能控制自身或自身审批界面。""},{""line"":339,""text"":""Zeus 实例默认不能控制其他 Zeus 或审批界面；仅独立 Test 身份可在显式 QA 模式下被控制。""},{""line"":352,""text"":""Zeus Computer Service 尚未获得 macOS 辅助功能权限。""},{""line"":358,""text"":""无法确认当前图形会话状态。""},{""line"":361,""text"":""锁屏或非控制台会话中禁止 Computer Use。""},{""line"":367,""text"":""Computer 请求缺少 app。""},{""line"":372,""text"":""目标应用当前没有运行，请先调用 get_app_state。""},{""line"":376,""text"":""该操作需要 element_index。""},{""line"":385,""text"":""element_index 已过期，请重新调用 get_app_state。""},{""line"":396,""text"":""perform_secondary_action 需要元素公开的 action。""},{""line"":399,""text"":""目标元素拒绝辅助功能动作：\\(action)""},{""line"":416,""text"":""点击需要语义元素或坐标。""},{""line"":429,""text"":""拖拽坐标不完整。""},{""line"":450,""text"":""paste 缺少 text。""},{""line"":454,""text"":""paste format 仅支持 text、md 或 html。""},{""line"":471,""text"":""press_key 缺少 key。""},{""line"":483,""text"":""scroll direction 无效。""},{""line"":496,""text"":""无法创建滚动事件。""},{""line"":507,""text"":""select_text 缺少元素。""},{""line"":511,""text"":""select_text 需要可编辑元素中的非空 text。""},{""line"":514,""text"":""目标元素中未找到指定文本。""},{""line"":514,""text"":""指定文本出现多次，请提供 prefix 或 suffix。""},{""line"":521,""text"":""selection_type 无效。""},{""line"":524,""text"":""目标元素不支持文本范围选择。""},{""line"":533,""text"":""set_value 参数不完整。""},{""line"":536,""text"":""目标元素拒绝设置值。""},{""line"":545,""text"":""type_text 缺少 text。""},{""line"":551,""text"":""无法创建文字事件。""},{""line"":565,""text"":""目标元素无法获得焦点。""},{""line"":573,""text"":""Zeus 不读取或填写密码、验证码及其他安全文本字段。""},{""line"":629,""text"":""无法创建鼠标事件。""},{""line"":640,""text"":""mouse_button 无效。""},{""line"":647,""text"":""无法创建键盘事件。""},{""line"":656,""text"":""按键为空。""},{""line"":663,""text"":""不支持的修饰键：\\(modifier)""},{""line"":676,""text"":""不支持的按键：\\(key)""}]"
"apps/desktop/scripts/build-browser-extensions.mjs","run","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":74,""text"":""${basename(command)} failed${signal ? ` with signal ${signal}` : ` with code ${code}`}""}]"
"apps/desktop/scripts/build-native-helpers.mjs","(模块)","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":13,""text"":""Zeus 原生辅助程序只能在 macOS 上构建。""}]"
"apps/desktop/scripts/build-native-helpers.mjs","computerApp","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":25,""text"":""Zeus Computer Service.app""}]"
"apps/desktop/scripts/build-native-helpers.mjs","computerExecutable","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":27,""text"":""Zeus Computer Service""}]"
"apps/desktop/scripts/build-native-helpers.mjs","(模块)","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":38,""text"":""<?xml version=\""1.0\"" encoding=\""UTF-8\""?>\n<!DOCTYPE plist PUBLIC \""-//Apple//DTD PLIST 1.0//EN\"" \""http://www.apple.com/DTDs/PropertyList-1.0.dtd\"">\n<plist version=\""1.0\"">\n<dict>\n  <key>CFBundleDevelopmentRegion</key><string>zh_CN</string>\n  <key>CFBundleExecutable</key><string>Zeus Computer Service</string>\n  <key>CFBundleIdentifier</key><string>${computerBundleId}</string>\n  <key>CFBundleInfoDictionaryVersion</key><string>6.0</string>\n  <key>CFBundleName</key><string>Zeus Computer Service</string>\n  <key>CFBundlePackageType</key><string>APPL</string>\n  <key>CFBundleShortVersionString</key><string>1.0</string>\n  <key>CFBundleVersion</key><string>1</string>\n  <key>LSBackgroundOnly</key><true/>\n  <key>LSMinimumSystemVersion</key><string>13.0</string>\n  <key>NSHighResolutionCapable</key><true/>\n  <key>NSScreenCaptureUsageDescription</key><string>Zeus captures only the explicitly targeted app window for user-authorized Computer Use.</string>\n</dict>\n</plist>""}]"
