"文件","入口或词典键","处理结论","当前行号","原文逐项列表","中文逐项列表或双语动态表达式","英文逐项列表","触发条件","现有操作或限制","原因或展示上下文"
"apps/desktop/browser-extension/src/background.ts","invokeConvenience","已检查保留","161;176","[{""scope"":""invokeConvenience"",""line"":155,""text"":""Unsupported history action: ${args.action}"",""when"":[""args.action === 'stop'"",""args.action === 'reload'"",""args.action === 'forward'"",""args.action === 'back'"",""command.tool === 'history'""]},{""scope"":""invokeConvenience"",""line"":170,""text"":""Unsupported browser tool: ${command.tool}""}]","[]","[{""scope"":""invokeConvenience"",""line"":161,""text"":""Unsupported history action: ${args.action}"",""when"":[""args.action === 'stop'"",""args.action === 'reload'"",""args.action === 'forward'"",""args.action === 'back'"",""command.tool === 'history'""]},{""scope"":""invokeConvenience"",""line"":176,""text"":""Unsupported browser tool: ${command.tool}""}]","[""args.action === 'stop'"",""args.action === 'reload'"",""args.action === 'forward'"",""args.action === 'back'"",""command.tool === 'history'""]","文案本身不执行操作；沿用入口既有回调与状态限制","[""failure('ZEUS_BROWSER_HISTORY_ACTION_INVALID', `Unsupported history action: ${args.action}`)"",""failure('ZEUS_BROWSER_TOOL_UNSUPPORTED', `Unsupported browser tool: ${command.tool}`)""]"
"apps/desktop/browser-extension/src/background.ts","invokeAdvanced","已检查保留","183;216;222;280;289","[{""scope"":""invokeAdvanced"",""line"":177,""text"":""Invalid Browser contract path: ${path}"",""when"":[""split < 1""]},{""scope"":""invokeAdvanced"",""line"":210,""text"":""unsupported_surface: Browser capability ${args.id} is not advertised by ${ZEUS_SURFACE}."",""when"":[""!kind"",""api === 'BrowserCapabilityCollection' && method === 'get'""]},{""scope"":""invokeAdvanced"",""line"":216,""text"":""unsupported_surface: Tab capability ${args.id} is not advertised by ${ZEUS_SURFACE}."",""when"":[""!kind"",""api === 'TabCapabilityCollection' && method === 'get'""]},{""scope"":""invokeAdvanced"",""line"":274,""text"":""unsupported_surface: The current page does not expose WebMCP."",""when"":[""!Array.isArray(tools)"",""api === 'WebMcpTabCapability' && method === 'fetchTools'""]},{""scope"":""invokeAdvanced"",""line"":283,""text"":""The ${ZEUS_SURFACE} adapter does not implement ${path}.""}]","[]","[{""scope"":""invokeAdvanced"",""line"":183,""text"":""Invalid Browser contract path: ${path}"",""when"":[""split < 1""]},{""scope"":""invokeAdvanced"",""line"":216,""text"":""unsupported_surface: Browser capability ${args.id} is not advertised by ${ZEUS_SURFACE}."",""when"":[""!kind"",""api === 'BrowserCapabilityCollection' && method === 'get'""]},{""scope"":""invokeAdvanced"",""line"":222,""text"":""unsupported_surface: Tab capability ${args.id} is not advertised by ${ZEUS_SURFACE}."",""when"":[""!kind"",""api === 'TabCapabilityCollection' && method === 'get'""]},{""scope"":""invokeAdvanced"",""line"":280,""text"":""unsupported_surface: The current page does not expose WebMCP."",""when"":[""!Array.isArray(tools)"",""api === 'WebMcpTabCapability' && method === 'fetchTools'""]},{""scope"":""invokeAdvanced"",""line"":289,""text"":""The ${ZEUS_SURFACE} adapter does not implement ${path}.""}]","[""split < 1"",""!kind"",""api === 'BrowserCapabilityCollection' && method === 'get'"",""api === 'TabCapabilityCollection' && method === 'get'"",""!Array.isArray(tools)"",""api === 'WebMcpTabCapability' && method === 'fetchTools'""]","文案本身不执行操作；沿用入口既有回调与状态限制","[""failure('ZEUS_BROWSER_METHOD_INVALID', `Invalid Browser contract path: ${path}`)"",""failure('ZEUS_BROWSER_UNSUPPORTED_SURFACE', `unsupported_surface: Browser capability ${args.id} is not advertised by ${ZEUS_SURFACE}.`)"",""failure('ZEUS_BROWSER_UNSUPPORTED_SURFACE', `unsupported_surface: Tab capability ${args.id} is not advertised by ${ZEUS_SURFACE}.`)"",""failure('ZEUS_BROWSER_UNSUPPORTED_SURFACE', 'unsupported_surface: The current page does not expose WebMCP.')"",""failure('ZEUS_BROWSER_METHOD_UNSUPPORTED', `The ${ZEUS_SURFACE} adapter does not implement ${path}.`)""]"
"apps/desktop/browser-extension/src/background.ts","invokeAdvanced.value.name","已检查保留","194;194","[{""scope"":""invokeAdvanced.value.name"",""line"":188,""text"":""Microsoft Edge"",""when"":[""ZEUS_SURFACE === 'edge'"",""api === 'Browsers' && method === 'list'""]},{""scope"":""invokeAdvanced.value.name"",""line"":188,""text"":""Google Chrome"",""when"":[""ZEUS_SURFACE === 'edge'"",""api === 'Browsers' && method === 'list'""]}]","[]","[{""scope"":""invokeAdvanced.value.name"",""line"":194,""text"":""Microsoft Edge"",""when"":[""ZEUS_SURFACE === 'edge'"",""api === 'Browsers' && method === 'list'""]},{""scope"":""invokeAdvanced.value.name"",""line"":194,""text"":""Google Chrome"",""when"":[""ZEUS_SURFACE === 'edge'"",""api === 'Browsers' && method === 'list'""]}]","[""ZEUS_SURFACE === 'edge'"",""api === 'Browsers' && method === 'list'""]","文案本身不执行操作；沿用入口既有回调与状态限制","[""ZEUS_SURFACE === 'edge' ? 'Microsoft Edge' : 'Google Chrome'"",""ZEUS_SURFACE === 'edge' ? 'Microsoft Edge' : 'Google Chrome'""]"
"apps/desktop/browser-extension/src/background.ts","invokeTab","已检查保留","339","[{""scope"":""invokeTab"",""line"":333,""text"":""Unsupported Tab method: ${method}""}]","[]","[{""scope"":""invokeTab"",""line"":339,""text"":""Unsupported Tab method: ${method}""}]","进入此函数或词典键对应的界面；详见当前入口","文案本身不执行操作；沿用入口既有回调与状态限制","[""failure('ZEUS_BROWSER_TAB_METHOD_UNSUPPORTED', `Unsupported Tab method: ${method}`)""]"
"apps/desktop/browser-extension/src/background.ts","invokeCua","已检查保留","351","[{""scope"":""invokeCua"",""line"":345,""text"":""Unsupported CUA method: ${method}""}]","[]","[{""scope"":""invokeCua"",""line"":351,""text"":""Unsupported CUA method: ${method}""}]","进入此函数或词典键对应的界面；详见当前入口","文案本身不执行操作；沿用入口既有回调与状态限制","[""failure('ZEUS_BROWSER_CUA_METHOD_UNSUPPORTED', `Unsupported CUA method: ${method}`)""]"
"apps/desktop/browser-extension/src/background.ts","invokeDomCua","已检查保留","364","[{""scope"":""invokeDomCua"",""line"":358,""text"":""Unsupported DOM CUA method: ${method}""}]","[]","[{""scope"":""invokeDomCua"",""line"":364,""text"":""Unsupported DOM CUA method: ${method}""}]","进入此函数或词典键对应的界面；详见当前入口","文案本身不执行操作；沿用入口既有回调与状态限制","[""failure('ZEUS_BROWSER_DOM_CUA_METHOD_UNSUPPORTED', `Unsupported DOM CUA method: ${method}`)""]"
"apps/desktop/browser-extension/src/background.ts","invokeAx","已检查保留","401","[{""scope"":""invokeAx"",""line"":395,""text"":""Unsupported AX method: ${method}""}]","[]","[{""scope"":""invokeAx"",""line"":401,""text"":""Unsupported AX method: ${method}""}]","进入此函数或词典键对应的界面；详见当前入口","文案本身不执行操作；沿用入口既有回调与状态限制","[""failure('ZEUS_BROWSER_AX_METHOD_UNSUPPORTED', `Unsupported AX method: ${method}`)""]"
"apps/desktop/browser-extension/src/background.ts","axTarget","已检查保留","410","[{""scope"":""axTarget"",""line"":404,""text"":""AX operation requires an element index or viewport point.""}]","[]","[{""scope"":""axTarget"",""line"":410,""text"":""AX operation requires an element index or viewport point.""}]","进入此函数或词典键对应的界面；详见当前入口","文案本身不执行操作；沿用入口既有回调与状态限制","[""failure('ZEUS_BROWSER_AX_TARGET_REQUIRED', 'AX operation requires an element index or viewport point.')""]"
"apps/desktop/browser-extension/src/background.ts","axPoint","已检查保留","414","[{""scope"":""axPoint"",""line"":408,""text"":""${name} must be a two-coordinate viewport point."",""when"":[""!Array.isArray(value) || value.length !== 2 || !value.every((coordinate) => Number.isFinite(Number(coordinate)))""]}]","[]","[{""scope"":""axPoint"",""line"":414,""text"":""${name} must be a two-coordinate viewport point."",""when"":[""!Array.isArray(value) || value.length !== 2 || !value.every((coordinate) => Number.isFinite(Number(coordinate)))""]}]","[""!Array.isArray(value) || value.length !== 2 || !value.every((coordinate) => Number.isFinite(Number(coordinate)))""]","文案本身不执行操作；沿用入口既有回调与状态限制","[""failure('ZEUS_BROWSER_AX_POINT_INVALID', `${name} must be a two-coordinate viewport point.`)""]"
"apps/desktop/browser-extension/src/background.ts","domTarget","已检查保留","427","[{""scope"":""domTarget"",""line"":421,""text"":""DOM CUA operation requires node_id.""}]","[]","[{""scope"":""domTarget"",""line"":427,""text"":""DOM CUA operation requires node_id.""}]","进入此函数或词典键对应的界面；详见当前入口","文案本身不执行操作；沿用入口既有回调与状态限制","[""failure('ZEUS_BROWSER_DOM_TARGET_REQUIRED', 'DOM CUA operation requires node_id.')""]"
