"文件","原入口","原行号","原文","结论"
"apps/desktop/browser-extension/src/popup.ts","(模块)","13","当前页面不支持站点授权。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/browser-extension/src/popup.ts","(模块)","18","Zeus 已获当前站点访问权限。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/browser-extension/src/popup.ts","(模块)","18","当前站点尚未授权。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/browser-extension/src/popup.ts","(模块)","23","当前站点已授权。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/browser-extension/src/popup.ts","(模块)","23","用户拒绝了当前站点权限。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/browser-extension/src/popup.ts","(模块)","27","可选高级权限已授权。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/browser-extension/src/popup.ts","(模块)","27","一个或多个高级权限未授权。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/scripts/build-browser-extensions.mjs","manifest.description","36","Connect an explicitly authorized browser profile to the local Zeus automation and approval layer.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/browserHost.ts","collectSecureBrowserCredentials.authWindow.title","2558","Zeus 安全登录","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/computerHost.ts","ensureSensitiveActionApproval.options.title","495","确认敏感 Computer Use 操作","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/computerHost.ts","ensureSensitiveActionApproval.options.message","496","Agent 请求执行可能产生外部影响的操作。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/externalBrowserHost.ts","collectSecureCredentials.window.title","508","Zeus 安全登录","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/homebrewUpdateController.ts","indicatorForFailed.detail","363","更新下载未能完成，点击查看原因并重试。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/homebrewUpdateController.ts","indicatorForFailed.detail","363","The update download could not be completed. Open it to review the reason and retry.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/homebrewUpdateController.ts","copyFor.detail","383","Zeus 正在读取公开稳定版发布清单。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/homebrewUpdateController.ts","copyFor.detail","383","Zeus is reading the public stable release manifest.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/homebrewUpdateController.ts","copyFor.progressCaption","384","正在读取发布清单","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/homebrewUpdateController.ts","copyFor.progressCaption","384","Reading release manifest","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/homebrewUpdateController.ts","progressCopy.detail","424","Zeus 正在刷新公开 Cask，不会阻止你继续工作。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/homebrewUpdateController.ts","progressCopy.detail","424","Zeus is refreshing the public Cask without blocking your work.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/homebrewUpdateController.ts","progressCopy.detail","432","Homebrew 与 Zeus 正在复验 ${update.artifact?.fileName ?? update.latestVersion} 的大小和 SHA-256。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/homebrewUpdateController.ts","progressCopy.detail","432","Homebrew and Zeus are verifying the size and SHA-256 of ${update.artifact?.fileName ?? update.latestVersion}.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/homebrewUpdateController.ts","failedCopy.copy.check.detail","482","暂时无法取得最新版本信息。Zeus 没有发生变化，你可以稍后重试。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/homebrewUpdateController.ts","failedCopy.copy.check.detail","482","The latest version information is temporarily unavailable. Zeus was not changed; you can try again later.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/homebrewUpdateController.ts","failedCopy.copy.prepare.detail","486","Zeus 未被替换，你可以继续工作。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/homebrewUpdateController.ts","failedCopy.copy.prepare.detail","486","Zeus was not replaced. You can keep working.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/homebrewUpdateController.ts","failedCopy.copy.install.detail","490","Zeus 未完成替换，现有工作可以继续。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/homebrewUpdateController.ts","failedCopy.copy.install.detail","490","Zeus was not replaced successfully. Your existing work can continue.","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/main.ts","setupIpc.title","1860","选择 Zeus 项目代码库","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/main.ts","setupIpc.chooseFile.title","2034","导出 Zeus 设置快照","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/main.ts","setupIpc.chooseFile.title","2045","导入 Zeus 设置快照","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/main.ts","setupIpc.chooseFile.title","2056","导入 Zeus 业务数据快照","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/main.ts","setupIpc.chooseFile.title","2074","导出 Zeus Patch","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/main.ts","setupIpc.chooseFile.title","2106","导出 Mermaid 源码","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/main.ts","setupIpc.chooseFile.title","2122","导出 PlantUML 源码","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/main.ts","setupIpc.chooseFile.title","2140","导出 Zeus Runtime 日志","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/main.ts","resolveDesktopQuitMode.options.title","3115","仍有任务正在运行","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/main.ts","resolveDesktopQuitMode.options.message","3116","退出 Zeus 时如何处理正在运行的任务？","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/main.ts","resolveDesktopQuitMode.options.buttons","3118","关闭界面，任务继续运行","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/main.ts","resolveDesktopQuitMode.options.buttons","3118","停止活动工作并退出","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/main.ts","resolveDesktopQuitMode.options.buttons","3118","停止活动工作并退出","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/main.ts","confirmRequestedRestart.options.title","3173","重启会停止活动工作","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/main.ts","confirmRequestedRestart.options.message","3174","确认停止活动工作并完整重启 Zeus？","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/main.ts","confirmRequestedRestart.options.buttons","3176","停止活动工作并重启","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/main.ts","showRestartCancelled.options.message","3190","Zeus 没有关闭当前 Core。","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
"apps/desktop/src/main/systemNotifications.ts","buildSystemNotificationFromRealtimeEvent.body","39","真实任务","此原文不再直接展示；入口已改写、合并或删除，最终中英文见入口清单"
