"文件","原行号","原入口","原中文","原英文","改写中文","改写英文","当前结论"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","6","languageCopy.zh-CN.shellAriaLabel","Zeus macOS AI 原生研发工作台 · 支持减少动态效果","Zeus macOS AI native development workbench · Reduced motion supported","Zeus 工作台","Zeus workspace","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","51","languageCopy.zh-CN.taskEventTypeLabels.task.created.from_runtime_session","从 Runtime 会话创建任务","task.created.from_runtime_session","从运行记录创建任务","Create task from a run","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","54","languageCopy.zh-CN.taskEventTypeLabels.runtime.session.recovered","Runtime 会话恢复","runtime.session.recovered","运行会话已恢复","Run restored","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","57","languageCopy.zh-CN.taskEventTypeLabels.telegram.runtime.summary.sent","Telegram Runtime 摘要已发送","telegram.runtime.summary.sent","运行摘要已发送到 Telegram","Run summary sent to Telegram","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","58","languageCopy.zh-CN.taskEventTypeLabels.telegram.runtime.summary.failed","Telegram Runtime 摘要发送失败","telegram.runtime.summary.failed","运行摘要未能发送到 Telegram","Run summary could not be sent to Telegram","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","172","languageCopy.zh-CN.sidebar.selectRepository","选择真实本地代码库","Choose local repository","选择本地项目文件夹","Choose a local project folder","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","173","languageCopy.zh-CN.sidebar.selectedRepositoryDescription","用户选择的真实本地仓库","User selected a real local repository","已选择的本地项目","Selected local project","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","174","languageCopy.zh-CN.sidebar.cancelledRepositoryDescription","用户取消选择，已保留当前项目列表","User cancelled selection; existing projects are unchanged","已取消选择文件夹","Folder selection cancelled","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","176","languageCopy.zh-CN.sidebar.selectLocalRepository","选择真实本地代码库","Choose local repository","选择本地项目文件夹","Choose a local project folder","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","185","languageCopy.zh-CN.sidebar.createFolderHelp","选择一个 Zeus 可读取、索引和执行任务的本地目录。","Choose one local folder that Zeus can read, index, and use for task execution.","选择项目所在的文件夹，Zeus 将在其中读取文件和处理任务。","Choose the project folder where Zeus will read files and work on tasks.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","265","languageCopy.zh-CN.taskWorkspace.taskCreateZentaoLinkHelp","粘贴链接后自动解析并填入标题、类型、描述和附件；在设置中配置禅道账号后优先通过 REST 接口解析。","Paste a link to parse and fill the title, type, description, and attachments automatically. After configuring a ZenTao account in Settings, links are parsed through the REST API first.","粘贴禅道链接以填入任务内容。受限页面需要先在设置中登录禅道。","Paste a Zentao link to fill in the task. Sign in to Zentao in Settings to read restricted pages.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","311","languageCopy.zh-CN.taskWorkspace.taskCreatePreviewUnavailable","无法预览，本机路径已保存","Preview unavailable. Local path saved.","此附件暂时无法预览，可尝试打开原文件。","This attachment cannot be previewed. Try opening the original file.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","316","languageCopy.zh-CN.taskWorkspace.taskCreateAttachmentPickerFailed","无法打开附件选择器，请重试。","Unable to open the attachment picker. Try again.","无法打开文件选择窗口。","The file picker could not be opened.","最终文字仍在源码"
