"原始错误码或精确诊断","原始来源与原文","中文解释","英文解释","解决方向","真实原因判定","按钮约束"
"ZEUS_CONVERSATION_HYDRATION_TIMEOUT","[]","对话读取超过 20 秒仍未完成，可重新加载对话。","The conversation took more than 20 seconds to load. Reload the conversation.","retry","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_CONVERSATION_REALTIME_OPEN_TIMEOUT","[]","对话内容已载入，但还未连上实时服务，暂时无法接收新回复。","The conversation is loaded, but the live service is not connected yet, so new replies cannot be received.","retry","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_NATIVE_ACCEPTANCE_HYDRATION_PENDING","[]","暂时无法继续对话：Zeus 尚未取得这次发送后的最新状态。请检查对话状态。","The conversation cannot continue until Zeus receives the latest state after this send. Check the conversation status.","check","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_NATIVE_SUBMISSION_NOT_DISPATCHED","[{""file"":""packages/local-server/src/codexNativeConversationCoordinator.ts"",""line"":2956,""value"":""The submission was not dispatched to the provider.""}]","这条消息尚未发送给 AI，正在等待发送确认。","This message has not been sent to the AI and is waiting for confirmation.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"Zeus 的文件编辑服务尚未连接。","[{""text"":""Zeus 的文件编辑服务尚未连接。""}]","Zeus 的文件编辑服务尚未连接。","Zeus has not connected to the file editing service yet.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"Zeus has not connected to the file editing service yet.","[]","Zeus 的文件编辑服务尚未连接。","Zeus has not connected to the file editing service yet.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"原文件标签已经关闭。","[{""text"":""原文件标签已经关闭。""}]","原文件标签已经关闭。","The source tab is already closed.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"The source tab is already closed.","[]","原文件标签已经关闭。","The source tab is already closed.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"已达到 20 个打开文件上限，请先关闭一个标签。","[{""text"":""已达到 20 个打开文件上限，请先关闭一个标签。""}]","已达到 20 个打开文件上限，请先关闭一个标签。","The 20 open-file limit has been reached. Close a tab first.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"The 20 open-file limit has been reached. Close a tab first.","[]","已达到 20 个打开文件上限，请先关闭一个标签。","The 20 open-file limit has been reached. Close a tab first.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
