"文件","检查结论","字符串候选数","产品文案出现次数"
"apps/desktop/browser-extension/src/background.ts","已检查并修改","75","73"
"apps/desktop/browser-extension/src/content.ts","已检查，保留清楚文案或非产品内容","35","35"
"apps/desktop/browser-extension/src/popup.css","配置、样式或原生工具已检查","0","0"
"apps/desktop/browser-extension/src/popup.html","原生界面已检查","6","6"
"apps/desktop/browser-extension/src/popup.ts","已检查并修改","28","28"
"apps/desktop/electron-builder.test.yml","配置、样式或原生工具已检查","0","0"
"apps/desktop/electron-builder.yml","配置、样式或原生工具已检查","0","0"
"apps/desktop/index.html","配置、样式或原生工具已检查","1","0"
"apps/desktop/native/BrowserNativeMessagingHost.swift","配置、样式或原生工具已检查","7","0"
"apps/desktop/native/ComputerService.swift","配置、样式或原生工具已检查","42","0"
"apps/desktop/native/UpdateProgressPanel.swift","原生界面已检查","34","34"
"apps/desktop/package.json","配置、样式或原生工具已检查","0","0"
"apps/desktop/scripts/build-browser-extensions.mjs","已检查并修改","7","6"
"apps/desktop/scripts/build-native-helpers.mjs","已检查，保留清楚文案或非产品内容","5","0"
"apps/desktop/scripts/bundle-preload.mjs","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/scripts/clean-build-output.mjs","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/scripts/generate-browser-frozen-schemas.mjs","已检查，保留清楚文案或非产品内容","4","0"
"apps/desktop/src/main/appShellPolicy.ts","已检查并修改","39","38"
"apps/desktop/src/main/automaticUpdateScheduler.ts","已检查，保留清楚文案或非产品内容","1","0"
"apps/desktop/src/main/beforeQuitCleanup.ts","已检查，保留清楚文案或非产品内容","1","0"
"apps/desktop/src/main/browserArtifactExport.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/main/browserAutomationBridge.ts","已检查，保留清楚文案或非产品内容","9","4"
"apps/desktop/src/main/browserHost.ts","已检查并修改","218","56"
"apps/desktop/src/main/computerHost.ts","已检查并修改","39","9"
"apps/desktop/src/main/conversationInputResources.ts","已检查，保留清楚文案或非产品内容","7","0"
"apps/desktop/src/main/conversationResourceOpen.ts","已检查，保留清楚文案或非产品内容","28","0"
"apps/desktop/src/main/dataRootIdentity.ts","已检查，保留清楚文案或非产品内容","55","0"
"apps/desktop/src/main/executionHost.ts","已检查，保留清楚文案或非产品内容","21","3"
"apps/desktop/src/main/executionHostClosePlan.ts","已检查，保留清楚文案或非产品内容","3","0"
"apps/desktop/src/main/executionHostProtocol.ts","已检查，保留清楚文案或非产品内容","41","0"
"apps/desktop/src/main/executionHostStopCommand.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/main/externalBrowserHost.ts","已检查并修改","44","5"
"apps/desktop/src/main/externalOpen.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/main/homebrewUpdateController.ts","已检查并修改","77","73"
"apps/desktop/src/main/homebrewUpdateService.ts","已检查并修改","38","3"
"apps/desktop/src/main/localLogDirectory.ts","已检查，保留清楚文案或非产品内容","0","0"
"apps/desktop/src/main/localServerRuntime.ts","已检查，保留清楚文案或非产品内容","42","3"
"apps/desktop/src/main/main.ts","已检查并修改","240","76"
"apps/desktop/src/main/mainCommandLedger.ts","已检查，保留清楚文案或非产品内容","76","0"
